invoice_id,purchase_date,time,gender,city,payment_method,invoice_amount
584,2023-11-17,09:30,Male,Marbella,Credit Card,344.47
781,2023-07-30,11:26,Male,Torremolinos,Credit Card,452.82
335,2023-05-31,12:51,Male,Malaga,Credit Card,596.84
544,2023-10-27,20:35,Male,Marbella,Cash,80.85
882,2023-09-12,18:11,Male,Malaga,Cash,890.36
980,2023-07-03,13:42,Male,Marbella,Cash,136.64
819,2023-08-28,20:52,Female,Fuengirola,Credit Card,510.5
773,2023-11-19,10:04,Female,Benalmedena,Cash,113.31
551,2023-01-04,16:20,Male,Malaga,Cash,835.3
969,2023-02-03,13:13,Male,Malaga,Credit Card,377.01
582,2023-09-08,15:55,Male,Malaga,Cash,910.36
806,2023-10-31,11:17,Male,Torremolinos,Credit Card,571.72
732,2023-07-02,10:41,Male,Marbella,Cash,588.78
106,2023-10-20,10:14,Female,Benalmedena,Credit Card,151.95
318,2023-08-22,13:49,Female,Torremolinos,Paypal,336.75
265,2023-05-11,17:30,Male,Marbella,Paypal,134.75
463,2023-09-14,20:49,Male,Torremolinos,Cash,729.79
173,2023-05-26,20:38,Male,Mexico City,Cash,955.32
238,2023-10-05,19:16,Female,Fuengirola,Paypal,75.77
583,2023-09-16,12:50,Female,Marbella,Paypal,185.43
145,2023-05-15,14:51,Male,Benalmedena,Cash,665.5
758,2023-07-07,15:46,Male,Mexico City,Credit Card,894.18
428,2023-04-15,10:17,Female,Benalmedena,Cash,790.53
610,2023-05-01,19:18,Female,Mexico City,Paypal,233.83
623,2023-04-17,14:23,Male,Fuengirola,Paypal,611.85
771,2023-06-23,17:08,Male,Malaga,Credit Card,452.57
984,2023-07-02,12:55,Female,Torremolinos,Cash,259.79
144,2023-06-29,19:48,Male,Marbella,Paypal,409.56
748,2023-10-02,20:01,Female,Benalmedena,Credit Card,973.48
997,2023-10-12,13:04,Female,Mexico City,Credit Card,339.87
210,2023-03-23,18:22,Male,Mexico City,Cash,492.7
152,2023-06-12,14:02,Female,Fuengirola,Credit Card,159.33
767,2023-04-11,10:29,Female,Benalmedena,Credit Card,504.27
896,2023-04-02,10:38,Female,Mexico City,Credit Card,577.19
289,2023-12-09,15:32,Female,Benalmedena,Credit Card,555.05
337,2023-01-17,11:48,Male,Torremolinos,Credit Card,419.34
990,2023-04-09,15:49,Female,Mexico City,Cash,635.79
695,2023-10-13,19:18,Male,Benalmedena,Credit Card,163.37
287,2023-10-18,11:11,Female,Marbella,Paypal,593.15
845,2023-11-03,16:51,Female,Malaga,Paypal,797.61
785,2023-07-14,19:13,Female,Fuengirola,Credit Card,571.22
212,2023-02-19,12:15,Female,Malaga,Paypal,241.2
249,2023-12-10,15:36,Female,Mexico City,Cash,188.61
356,2023-06-23,20:44,Female,Benalmedena,Credit Card,649.58
508,2023-02-26,12:42,Male,Fuengirola,Paypal,186.15
343,2023-10-03,12:47,Female,Torremolinos,Credit Card,695.89
571,2023-10-15,20:28,Male,Torremolinos,Paypal,620.53
863,2023-11-01,19:13,Female,Mexico City,Cash,932.4
897,2023-11-15,14:29,Male,Mexico City,Cash,242.12
341,2023-02-20,09:51,Male,Benalmedena,Paypal,573.63
147,2023-10-08,15:52,Female,Malaga,Paypal,828.52
793,2023-11-08,09:20,Female,Malaga,Cash,788.94
275,2023-09-04,14:09,Female,Malaga,Cash,315.31
473,2023-12-08,15:20,Male,Marbella,Credit Card,354.43
105,2023-02-05,14:08,Male,Mexico City,Credit Card,370.49
937,2023-05-24,16:28,Male,Fuengirola,Paypal,646.69
944,2023-11-09,17:21,Female,Fuengirola,Cash,612.91
548,2023-05-24,09:01,Male,Fuengirola,Cash,157.7
539,2023-01-04,16:45,Male,Mexico City,Paypal,440.33
984,2023-07-15,11:09,Female,Fuengirola,Paypal,236.73
169,2023-10-17,17:58,Female,Malaga,Paypal,23.87
742,2023-07-27,20:32,Male,Mexico City,Cash,635.72
199,2023-05-21,10:05,Female,Malaga,Credit Card,505.38
847,2023-09-16,17:06,Female,Fuengirola,Paypal,978.29
675,2023-01-11,17:25,Female,Fuengirola,Cash,783.5
62,2023-08-13,14:14,Male,Marbella,Cash,236.67
528,2023-03-16,12:36,Female,Mexico City,Credit Card,485.52
258,2023-07-22,10:42,Male,Malaga,Credit Card,613.44
965,2023-06-23,09:05,Female,Malaga,Credit Card,911.74
956,2023-03-05,12:16,Male,Marbella,Cash,559.18
137,2023-02-26,12:25,Female,Malaga,Credit Card,997.95
503,2023-03-30,15:28,Female,Benalmedena,Paypal,858.69
136,2023-05-24,11:12,Female,Mexico City,Cash,234.99
362,2023-01-20,13:52,Male,Benalmedena,Cash,439.43
822,2023-09-13,17:27,Female,Mexico City,Cash,237.07
852,2023-09-29,10:27,Male,Fuengirola,Credit Card,485.67
466,2023-03-17,09:11,Female,Fuengirola,Credit Card,635.15
55,2023-06-16,15:07,Male,Torremolinos,Cash,886.09
953,2023-11-23,19:56,Male,Fuengirola,Cash,799.19
948,2023-04-11,10:01,Female,Benalmedena,Cash,992.0
643,2023-12-16,10:48,Male,Malaga,Paypal,332.09
687,2023-01-12,14:52,Female,Torremolinos,Credit Card,291.94
272,2023-02-28,18:14,Female,Benalmedena,Credit Card,424.77
572,2023-01-30,10:54,Male,Marbella,Credit Card,29.76
54,2023-07-01,20:55,Female,Mexico City,Paypal,985.16
63,2023-11-29,11:56,Male,Malaga,Paypal,186.41
257,2023-04-30,12:02,Male,Benalmedena,Cash,182.98
385,2023-09-06,17:43,Male,Malaga,Cash,730.46
607,2023-03-12,15:53,Female,Mexico City,Cash,129.87
536,2023-01-09,15:13,Female,Torremolinos,Cash,966.32
740,2023-04-15,19:26,Male,Benalmedena,Credit Card,692.15
770,2023-03-25,09:17,Male,Benalmedena,Credit Card,663.67
703,2023-08-14,18:17,Female,Mexico City,Paypal,547.45
824,2023-04-06,18:46,Female,Torremolinos,Credit Card,689.74
411,2023-02-21,14:21,Female,Marbella,Credit Card,191.23
195,2023-12-18,17:11,Female,Benalmedena,Paypal,528.56
994,2023-03-10,20:55,Female,Malaga,Cash,921.86
338,2023-12-18,11:23,Male,Marbella,Cash,931.23
748,2023-07-31,16:09,Female,Marbella,Paypal,136.28
927,2023-09-13,12:51,Female,Malaga,Cash,253.35
830,2023-07-09,12:01,Female,Fuengirola,Credit Card,612.57
642,2023-06-27,18:08,Female,Benalmedena,Credit Card,693.96
640,2023-12-30,14:40,Female,Mexico City,Cash,750.07
883,2023-01-01,20:26,Male,Fuengirola,Cash,882.82
389,2023-05-01,19:16,Female,Marbella,Paypal,460.35
832,2023-05-19,16:15,Male,Mexico City,Paypal,384.55
521,2023-08-27,14:32,Male,Malaga,Paypal,849.01
542,2023-08-13,09:14,Female,Benalmedena,Cash,455.07
579,2023-12-08,17:33,Male,Marbella,Paypal,175.88
291,2023-06-16,10:46,Female,Mexico City,Credit Card,853.38
684,2023-07-03,12:15,Female,Malaga,Cash,233.18
847,2023-08-13,17:56,Male,Malaga,Credit Card,645.03
52,2023-01-21,20:40,Male,Torremolinos,Credit Card,787.02
920,2023-09-21,15:03,Male,Mexico City,Credit Card,840.76
117,2023-08-28,09:45,Female,Malaga,Paypal,201.21
859,2023-11-08,20:38,Female,Benalmedena,Cash,568.06
454,2023-04-20,12:21,Male,Benalmedena,Paypal,556.66
930,2023-05-20,10:55,Male,Benalmedena,Paypal,40.04
453,2023-11-20,13:31,Female,Marbella,Paypal,462.26
58,2023-06-29,09:19,Male,Fuengirola,Paypal,592.25
93,2023-03-16,16:51,Female,Torremolinos,Cash,903.45
835,2023-12-02,13:35,Female,Malaga,Credit Card,281.88
805,2023-12-01,19:19,Female,Malaga,Cash,573.39
114,2023-07-07,12:08,Male,Mexico City,Credit Card,693.07
784,2023-09-08,11:53,Female,Marbella,Paypal,128.05
902,2023-06-09,14:36,Female,Fuengirola,Credit Card,591.99
119,2023-02-02,11:08,Female,Malaga,Credit Card,597.69
505,2023-11-14,15:52,Female,Fuengirola,Cash,900.17
876,2023-03-01,16:56,Male,Malaga,Cash,316.14
657,2023-12-25,20:52,Female,Fuengirola,Cash,686.99
611,2023-01-27,16:24,Female,Fuengirola,Cash,274.78
370,2023-08-23,12:14,Female,Torremolinos,Cash,797.64
502,2023-01-03,17:54,Female,Mexico City,Paypal,372.67
283,2023-04-20,18:39,Male,Torremolinos,Paypal,492.83
84,2023-01-04,10:03,Female,Benalmedena,Paypal,818.04
974,2023-05-29,12:04,Female,Torremolinos,Cash,346.01
756,2023-08-03,12:40,Female,Marbella,Paypal,79.69
281,2023-12-28,20:00,Male,Torremolinos,Paypal,920.56
50,2023-09-23,12:17,Male,Malaga,Cash,22.57
163,2023-10-30,17:44,Female,Mexico City,Credit Card,368.61
158,2023-02-08,09:11,Male,Torremolinos,Credit Card,613.41
85,2023-02-08,17:06,Male,Fuengirola,Cash,414.0
376,2023-09-11,09:54,Male,Mexico City,Cash,391.44
833,2023-12-07,14:47,Female,Benalmedena,Paypal,237.56
14,2023-01-25,09:09,Female,Marbella,Paypal,249.62
24,2023-10-13,13:36,Male,Fuengirola,Credit Card,850.78
972,2023-02-19,11:20,Male,Torremolinos,Cash,374.23
147,2023-09-29,14:12,Male,Marbella,Credit Card,177.96
190,2023-07-11,11:55,Male,Benalmedena,Paypal,134.72
204,2023-07-22,19:24,Male,Fuengirola,Paypal,453.5
445,2023-09-24,12:24,Male,Mexico City,Paypal,330.89
862,2023-04-12,14:24,Female,Mexico City,Cash,286.25
768,2023-02-25,17:53,Male,Benalmedena,Cash,270.13
109,2023-05-28,18:59,Male,Malaga,Cash,636.88
854,2023-06-14,09:10,Male,Torremolinos,Cash,711.39
51,2023-02-16,14:57,Female,Mexico City,Credit Card,257.05
839,2023-06-16,16:18,Male,Mexico City,Cash,194.23
639,2023-01-10,16:00,Female,Torremolinos,Cash,89.71
221,2023-09-15,14:40,Female,Fuengirola,Cash,946.61
563,2023-02-24,15:40,Female,Mexico City,Cash,109.85
268,2023-03-05,18:50,Male,Mexico City,Cash,38.61
35,2023-05-05,18:49,Male,Benalmedena,Cash,238.62
873,2023-05-24,17:36,Male,Fuengirola,Credit Card,144.39
790,2023-12-17,19:43,Female,Marbella,Cash,483.34
899,2023-10-08,19:22,Male,Malaga,Credit Card,996.91
256,2023-03-03,14:21,Female,Marbella,Credit Card,416.86
739,2023-04-25,15:07,Female,Torremolinos,Paypal,882.52
138,2023-07-10,16:20,Female,Mexico City,Cash,401.78
682,2023-06-25,14:04,Male,Fuengirola,Cash,757.82
368,2023-03-30,17:33,Female,Fuengirola,Cash,746.01
313,2023-11-29,12:06,Female,Torremolinos,Credit Card,310.4
913,2023-07-23,15:11,Male,Torremolinos,Paypal,581.6
175,2023-06-24,17:12,Male,Fuengirola,Cash,717.13
377,2023-11-25,16:11,Female,Malaga,Credit Card,85.01
631,2023-06-29,13:37,Male,Torremolinos,Cash,235.24
670,2023-04-23,12:30,Male,Fuengirola,Cash,224.84
406,2023-07-20,19:20,Male,Mexico City,Credit Card,215.85
800,2023-10-17,19:40,Male,Fuengirola,Cash,693.58
961,2023-07-31,12:34,Male,Fuengirola,Paypal,138.45
490,2023-01-01,18:59,Female,Marbella,Credit Card,356.05
46,2023-12-05,13:44,Female,Torremolinos,Credit Card,201.92
210,2023-11-21,17:47,Female,Marbella,Credit Card,240.64
104,2023-06-29,12:24,Female,Torremolinos,Credit Card,347.18
922,2023-06-02,10:00,Male,Malaga,Credit Card,252.26
760,2023-03-11,17:13,Female,Fuengirola,Paypal,194.96
833,2023-05-10,12:14,Male,Benalmedena,Paypal,421.73
378,2023-10-31,12:27,Female,Fuengirola,Paypal,426.54
37,2023-01-16,09:06,Male,Mexico City,Credit Card,276.28
158,2023-05-03,16:32,Male,Marbella,Paypal,886.37
843,2023-07-12,10:36,Female,Marbella,Paypal,832.91
799,2023-09-02,12:34,Male,Marbella,Cash,123.16
885,2023-07-16,18:20,Female,Fuengirola,Credit Card,545.81
251,2023-01-10,13:29,Female,Malaga,Credit Card,563.5
296,2023-04-11,20:21,Male,Fuengirola,Cash,973.1
71,2023-01-22,13:42,Female,Marbella,Cash,852.22
953,2023-03-27,09:16,Female,Fuengirola,Credit Card,671.24
58,2023-01-23,20:13,Female,Torremolinos,Paypal,573.07
630,2023-05-15,10:03,Male,Malaga,Credit Card,711.78
890,2023-12-12,10:07,Female,Mexico City,Cash,87.63
764,2023-12-08,15:28,Female,Malaga,Cash,94.99
544,2023-04-26,11:10,Female,Marbella,Paypal,629.02
450,2023-04-04,12:23,Male,Marbella,Cash,75.33
38,2023-02-10,20:35,Female,Mexico City,Cash,672.04
16,2023-07-06,15:25,Male,Fuengirola,Paypal,110.46
375,2023-10-24,14:35,Female,Torremolinos,Paypal,485.03
128,2023-12-20,10:58,Female,Benalmedena,Cash,56.17
574,2023-04-07,14:45,Male,Fuengirola,Credit Card,559.88
819,2023-04-25,18:09,Male,Mexico City,Paypal,565.12
555,2023-03-17,10:26,Male,Malaga,Cash,727.36
651,2023-02-03,09:29,Male,Torremolinos,Cash,711.27
279,2023-08-10,11:59,Male,Malaga,Credit Card,598.58
596,2023-01-04,09:39,Female,Marbella,Cash,441.32
958,2023-11-02,13:02,Male,Mexico City,Cash,625.66
416,2023-11-13,19:32,Female,Marbella,Credit Card,979.02
647,2023-05-15,20:43,Male,Torremolinos,Credit Card,441.32
510,2023-10-31,12:54,Male,Marbella,Cash,808.72
697,2023-01-12,16:58,Female,Benalmedena,Paypal,391.32
808,2023-11-09,13:52,Male,Benalmedena,Credit Card,23.15
146,2023-09-12,10:53,Male,Fuengirola,Cash,519.76
277,2023-05-01,10:03,Male,Torremolinos,Credit Card,698.47
774,2023-03-12,19:13,Male,Mexico City,Paypal,113.86
507,2023-08-05,12:49,Female,Mexico City,Cash,660.18
924,2023-01-23,09:14,Male,Malaga,Credit Card,673.49
261,2023-06-27,19:13,Female,Mexico City,Credit Card,927.61
819,2023-03-08,17:25,Female,Fuengirola,Paypal,529.46
258,2023-06-11,10:09,Female,Mexico City,Paypal,707.78
644,2023-12-25,18:34,Male,Malaga,Credit Card,336.99
